QC1-1-129a      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129b      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129c      Kodeverdi for EE utenfor tillatt omraade
QC1-2-160.a	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-160.b	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-160.c	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-160.d	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-161.a	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-161.b	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-161.c	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-161.d	Ikke samsvar mellom hovedtype av skyer og skytype
QC1-2-162.a	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-162.b	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-162.c	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-162.d	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-163.a	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-163.b	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-163.c	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-163.d	Ikke samsvar mellom hovedtype av skyer og øvrig skyinformasjon
QC1-2-164	Inkonsistens i skygruppe 8NsChshs
QC1-2-165	Inkonsistens i skygruppe 8NsChshs
QC1-2-166	Inkonsistens i skygruppe 8NsChshs
QC1-2-167	Inkonsistens i skygruppe 8NsChshs
QC1-2-168	Inkonsistens i skygruppe 8NsChshs
QC1-2-169	Ikke samsvar mellom skytype og skyhøyde
QC1-2-170	Ikke samsvar mellom skytype og skyhøyde
QC1-2-171	Ikke samsvar mellom skytype og skyhøyde
QC1-2-172	Ikke samsvar mellom skytype og skyhøyde
QC1-2-173	Ikke samsvar mellom skyer og skyhøyde
QC1-2-175	Ikke samsvar mellom skymengde og skyer
QC1-2-176	Ikke samsvar mellom skymengde og sikt
QC1-2-303	Ikke samsvar mellom markas tilstand og snødybde
QC1-2-304.a	Inkonsistens i markas tilstand og snødybde
QC1-2-304.b	Inkonsistens i markas tilstand og snødybde
QC1-2-305a      Flekkvis snoe(EE) med snoedybde(SA)
QC1-2-305b      Flekkvis snoe(EE) med snoedybde(SA)
QC1-2-305c      Flekkvis snoe(EE) med snoedybde(SA)
QC1-2-306a      Snoe dekker marka(EE) uten snoedybde(SA)
QC1-2-306b      Snoe dekker marka(EE) uten snoedybde(SA)
QC1-2-306c      Snoe dekker marka(EE) uten snoedybde(SA)
QC1-2-307a      Snoe dekker ikke marka(EE) med snoedybde(SA)
QC1-2-307b      Snoe dekker ikke marka(EE) med snoedybde(SA)
QC1-2-328	Ikke samsvar mellom skydekke og værkode W1/W2 ( NN >=5 og W1 = W2 = 0 ) 
QC1-3a-1        Sprang-sjekk. Synking eller okning av AA siden forrige obs storre enn testverdi.
QC1-3a-104      Sprang-sjekk. Synking eller okning av RA siden forrige obs storre enn testverdi.
QC1-3a-105      Sprang-sjekk. Synking eller okning av RR_01 siden forrige obs storre enn testverdi.
QC1-3a-113      Sprang-sjekk. Synking eller okning av SS_1 siden forrige obs storre enn testverdi.
QC1-3a-123      Sprang-sjekk. Synking eller okning av RT_1 siden forrige obs storre enn testverdi.
QC1-3a-135      Sprang-sjekk. Synking eller okning av WHMAX siden forrige obs storre enn testverdi.
QC1-3a-136      Sprang-sjekk. Synking eller okning av WHM0 siden forrige obs storre enn testverdi.
QC1-3a-172      Sprang-sjekk. Synking eller okning av PH siden forrige obs storre enn testverdi.
QC1-3a-174      Sprang-sjekk. Synking eller okning av POM siden forrige obs storre enn testverdi.
QC1-3a-175      Sprang-sjekk. Synking eller okning av PON siden forrige obs storre enn testverdi.
QC1-3a-176      Sprang-sjekk. Synking eller okning av POX siden forrige obs storre enn testverdi.
QC1-3a-177      Sprang-sjekk. Synking eller okning av PP siden forrige obs storre enn testverdi.
QC1-3a-178      Sprang-sjekk. Synking eller okning av PR siden forrige obs storre enn testverdi.
QC1-3a-197      Sprang-sjekk. Synking eller okning av QE siden forrige obs storre enn testverdi.
QC1-3a-198      Sprang-sjekk. Synking eller okning av QL siden forrige obs storre enn testverdi.
QC1-3a-199      Sprang-sjekk. Synking eller okning av QLX siden forrige obs storre enn testverdi.
QC1-3a-2        Sprang-sjekk. Synking eller okning av BI siden forrige obs storre enn testverdi.
QC1-3a-200      Sprang-sjekk. Synking eller okning av QO siden forrige obs storre enn testverdi.
